"cle_unique";"colonne";"valeur"
"0";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"0";"nom_du_fichier_html";"13546-AVIS-SOC-GLASSDOOR-E12966_P1.html"
"0";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13546-AVIS-SOC-GLASSDOOR-E12966_P1.html"
"0";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13546-AVIS-SOC-GLASSDOOR-E12966_P1.html"
"1";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"1";"nom_du_fichier_html";"13546-AVIS-SOC-GLASSDOOR-E12966_P2.html"
"1";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13546-AVIS-SOC-GLASSDOOR-E12966_P2.html"
"1";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13546-AVIS-SOC-GLASSDOOR-E12966_P2.html"
"2";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"2";"nom_du_fichier_html";"13546-INFO-EMP-LINKEDIN-FR-1599984246.html"
"2";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13546-INFO-EMP-LINKEDIN-FR-1599984246.html"
"2";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13546-INFO-EMP-LINKEDIN-FR-1599984246.html"
"3";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"3";"nom_du_fichier_html";"13546-INFO-SOC-GLASSDOOR-E12966_P1.html"
"3";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13546-INFO-SOC-GLASSDOOR-E12966_P1.html"
"3";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC\13546-INFO-SOC-GLASSDOOR-E12966_P1.html"
"4";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"4";"nom_du_fichier_html";"13547-INFO-EMP-LINKEDIN-FR-1519694389.html"
"4";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13547-INFO-EMP-LINKEDIN-FR-1519694389.html"
"4";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13547-INFO-EMP-LINKEDIN-FR-1519694389.html"
"5";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"5";"nom_du_fichier_html";"13548-INFO-EMP-LINKEDIN-FR-1638675310.html"
"5";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13548-INFO-EMP-LINKEDIN-FR-1638675310.html"
"5";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13548-INFO-EMP-LINKEDIN-FR-1638675310.html"
"6";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"6";"nom_du_fichier_html";"13549-INFO-EMP-LINKEDIN-FR-1638763250.html"
"6";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13549-INFO-EMP-LINKEDIN-FR-1638763250.html"
"6";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13549-INFO-EMP-LINKEDIN-FR-1638763250.html"
"7";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"7";"nom_du_fichier_html";"13550-AVIS-SOC-GLASSDOOR-E10686_P1.html"
"7";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13550-AVIS-SOC-GLASSDOOR-E10686_P1.html"
"7";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13550-AVIS-SOC-GLASSDOOR-E10686_P1.html"
"8";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"8";"nom_du_fichier_html";"13550-AVIS-SOC-GLASSDOOR-E10686_P2.html"
"8";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13550-AVIS-SOC-GLASSDOOR-E10686_P2.html"
"8";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13550-AVIS-SOC-GLASSDOOR-E10686_P2.html"
"9";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"9";"nom_du_fichier_html";"13550-INFO-EMP-LINKEDIN-FR-1573133460.html"
"9";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13550-INFO-EMP-LINKEDIN-FR-1573133460.html"
"9";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13550-INFO-EMP-LINKEDIN-FR-1573133460.html"
"10";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"10";"nom_du_fichier_html";"13550-INFO-SOC-GLASSDOOR-E10686_P1.html"
"10";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13550-INFO-SOC-GLASSDOOR-E10686_P1.html"
"10";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC\13550-INFO-SOC-GLASSDOOR-E10686_P1.html"
"11";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"11";"nom_du_fichier_html";"13551-AVIS-SOC-GLASSDOOR-E794111_P1.html"
"11";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13551-AVIS-SOC-GLASSDOOR-E794111_P1.html"
"11";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13551-AVIS-SOC-GLASSDOOR-E794111_P1.html"
"12";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"12";"nom_du_fichier_html";"13551-INFO-EMP-LINKEDIN-FR-1602929951.html"
"12";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13551-INFO-EMP-LINKEDIN-FR-1602929951.html"
"12";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13551-INFO-EMP-LINKEDIN-FR-1602929951.html"
"13";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"13";"nom_du_fichier_html";"13551-INFO-SOC-GLASSDOOR-E794111_P1.html"
"13";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13551-INFO-SOC-GLASSDOOR-E794111_P1.html"
"13";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC\13551-INFO-SOC-GLASSDOOR-E794111_P1.html"
"14";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"14";"nom_du_fichier_html";"13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html"
"14";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html"
"14";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html"
"15";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"15";"nom_du_fichier_html";"13552-INFO-EMP-LINKEDIN-FR-1599166885.html"
"15";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13552-INFO-EMP-LINKEDIN-FR-1599166885.html"
"15";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13552-INFO-EMP-LINKEDIN-FR-1599166885.html"
"16";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"16";"nom_du_fichier_html";"13552-INFO-SOC-GLASSDOOR-E2131167_P1.html"
"16";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13552-INFO-SOC-GLASSDOOR-E2131167_P1.html"
"16";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC\13552-INFO-SOC-GLASSDOOR-E2131167_P1.html"
"17";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"17";"nom_du_fichier_html";"13553-AVIS-SOC-GLASSDOOR-E5304_P1.html"
"17";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13553-AVIS-SOC-GLASSDOOR-E5304_P1.html"
"17";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13553-AVIS-SOC-GLASSDOOR-E5304_P1.html"
"18";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"18";"nom_du_fichier_html";"13553-INFO-EMP-LINKEDIN-FR-1566950259.html"
"18";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13553-INFO-EMP-LINKEDIN-FR-1566950259.html"
"18";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13553-INFO-EMP-LINKEDIN-FR-1566950259.html"
"19";"date_heure_de_recuperation";"2025-10-13 16:00:07"
"19";"nom_du_fichier_html";"13553-INFO-SOC-GLASSDOOR-E5304_P1.html"
"19";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13553-INFO-SOC-GLASSDOOR-E5304_P1.html"
"19";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC\13553-INFO-SOC-GLASSDOOR-E5304_P1.html"
"20";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"20";"nom_du_fichier_html";"13554-AVIS-SOC-GLASSDOOR-E855284_P1.html"
"20";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13554-AVIS-SOC-GLASSDOOR-E855284_P1.html"
"20";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13554-AVIS-SOC-GLASSDOOR-E855284_P1.html"
"21";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"21";"nom_du_fichier_html";"13554-INFO-EMP-LINKEDIN-FR-1634138009.html"
"21";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13554-INFO-EMP-LINKEDIN-FR-1634138009.html"
"21";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13554-INFO-EMP-LINKEDIN-FR-1634138009.html"
"22";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"22";"nom_du_fichier_html";"13554-INFO-SOC-GLASSDOOR-E855284_P1.html"
"22";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13554-INFO-SOC-GLASSDOOR-E855284_P1.html"
"22";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC\13554-INFO-SOC-GLASSDOOR-E855284_P1.html"
"23";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"23";"nom_du_fichier_html";"13555-INFO-EMP-LINKEDIN-FR-1602837931.html"
"23";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13555-INFO-EMP-LINKEDIN-FR-1602837931.html"
"23";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13555-INFO-EMP-LINKEDIN-FR-1602837931.html"
"24";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"24";"nom_du_fichier_html";"13556-INFO-EMP-LINKEDIN-FR-1637899355.html"
"24";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13556-INFO-EMP-LINKEDIN-FR-1637899355.html"
"24";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13556-INFO-EMP-LINKEDIN-FR-1637899355.html"
"25";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"25";"nom_du_fichier_html";"13557-INFO-EMP-LINKEDIN-FR-1644582626.html"
"25";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13557-INFO-EMP-LINKEDIN-FR-1644582626.html"
"25";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13557-INFO-EMP-LINKEDIN-FR-1644582626.html"
"26";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"26";"nom_du_fichier_html";"13558-AVIS-SOC-GLASSDOOR-E6162_P1.html"
"26";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13558-AVIS-SOC-GLASSDOOR-E6162_P1.html"
"26";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13558-AVIS-SOC-GLASSDOOR-E6162_P1.html"
"27";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"27";"nom_du_fichier_html";"13558-AVIS-SOC-GLASSDOOR-E6162_P2.html"
"27";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13558-AVIS-SOC-GLASSDOOR-E6162_P2.html"
"27";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13558-AVIS-SOC-GLASSDOOR-E6162_P2.html"
"28";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"28";"nom_du_fichier_html";"13558-INFO-EMP-LINKEDIN-FR-1610492058.html"
"28";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13558-INFO-EMP-LINKEDIN-FR-1610492058.html"
"28";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13558-INFO-EMP-LINKEDIN-FR-1610492058.html"
"29";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"29";"nom_du_fichier_html";"13558-INFO-SOC-GLASSDOOR-E6162_P1.html"
"29";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13558-INFO-SOC-GLASSDOOR-E6162_P1.html"
"29";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC\13558-INFO-SOC-GLASSDOOR-E6162_P1.html"
"30";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"30";"nom_du_fichier_html";"13559-AVIS-SOC-GLASSDOOR-E13824_P1.html"
"30";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13559-AVIS-SOC-GLASSDOOR-E13824_P1.html"
"30";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13559-AVIS-SOC-GLASSDOOR-E13824_P1.html"
"31";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"31";"nom_du_fichier_html";"13559-INFO-EMP-LINKEDIN-FR-1637893990.html"
"31";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13559-INFO-EMP-LINKEDIN-FR-1637893990.html"
"31";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13559-INFO-EMP-LINKEDIN-FR-1637893990.html"
"32";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"32";"nom_du_fichier_html";"13559-INFO-SOC-GLASSDOOR-E13824_P1.html"
"32";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13559-INFO-SOC-GLASSDOOR-E13824_P1.html"
"32";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC\13559-INFO-SOC-GLASSDOOR-E13824_P1.html"
"33";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"33";"nom_du_fichier_html";"13560-INFO-EMP-LINKEDIN-FR-1624194180.html"
"33";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13560-INFO-EMP-LINKEDIN-FR-1624194180.html"
"33";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13560-INFO-EMP-LINKEDIN-FR-1624194180.html"
"34";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"34";"nom_du_fichier_html";"13561-INFO-EMP-LINKEDIN-FR-1390703995.html"
"34";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13561-INFO-EMP-LINKEDIN-FR-1390703995.html"
"34";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP\13561-INFO-EMP-LINKEDIN-FR-1390703995.html"
"35";"date_heure_de_recuperation";"2025-10-13 16:00:08"
"35";"nom_du_fichier_html";"13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html"
"35";"provenance_du_fichier_html";"TD_DATALAKE/DATALAKE/0_SOURCE_WEB\13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html"
"35";"localisation_du_fichier_html";"TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI\13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html"
