idavis;idsociete;titreAvis;descriptionAvis;avantageAvis;inconvenientAvis;noteMoyenneAvis
1;1;« Salaire »;J'ai travaillé chez Devoteam à temps plein;AvantagesSalaire acceptable pour un junior;InconvénientsCE n’est pas intéressante, RAS;4.1
2;1;« Ssii respectable et correcte »;Je travaille chez Devoteam à temps plein depuis moins d'un an;"AvantagesEntreprise à l'écoute de ses collaborateurs.
Commercial compétent.
Manager à disposition en cas de souci même personnel
Formation des collaborateurs à la demande";"InconvénientsSalaire dans la moyenne du marché.
CE non présente";4.1
3;1;« Catastrophe »;J'ai travaillé chez Devoteam à temps plein;AvantagesAucun. Ens classique, cherche uniquement à faire du chiffre.;"InconvénientsSexisme
Aucune évolution
Expertise peu reconnu.
Esn type marchand de viande
Equipe commerciale incompétente";4.1
4;1;« Très déçu  par le management »;J'ai travaillé chez Devoteam à temps plein moins d'un an;AvantagesIl y a les avantages classiques.;InconvénientsJ'ai travaillé pendant moins d'un an et je n'ai pas eu l'accompagnement prévu. Je déconseille fortement si vous souhaitez une entreprise avec des valeurs humaines réelles.;4.1
5;1;« consultant full stack java/angular »;Je travaille chez Devoteam à temps plein;Avantagesplusieurs telques, événement, ambiance, salaire, mission;Inconvénientspour le moment, je sais pas;4.1
6;1;« Excellente entreprise »;Je travaille chez Devoteam à temps plein;Avantagesentreprise innovante, à l'écoute de ses collaborateurs;Inconvénientsle CE laisse à désirer;4.1
7;1;« Bien pour apprendre »;J'ai travaillé chez Devoteam à temps plein plus d'un an;"AvantagesForte croissance mais encore à taille humaine 
Entités séparées et semi indépendantes qui entraînent une plus grande proximité
Missions intéressantes même pour un junior
Nouveaux bureaux agréables";"InconvénientsTrès peu d’avantages employés
Le e learning pourrait être amélioré";4.1
8;1;« Excellent environnement de travail »;Je travaille chez Devoteam à temps plein depuis plus d'un an;AvantagesRémunération attractive et autonomie importante;InconvénientsParfois un manque de visibilité de la part du très haut management,;4.1
9;1;« Belle Boite »;Je travaille chez Devoteam à temps plein depuis plus de 3 ans;"Avantages- Diversité des missions (aussi bien géographique que contenu) 
- Orientée consultant (Par le consultant, Pour le consultant et avec le consultant)
- Orientée Transformation continue";Inconvénients- Organisation peu adaptée à la croissance (organique et externe);4.1
10;1;« One Devoteam »;Je travaille chez Devoteam à temps plein depuis plus de 3 ans;AvantagesSujets innovants, soin et attention portés aux collaborateurs, ambiance de travail;Inconvénientsaucun inconvénient. La direction est à l'écoute de ses employés.;4.1
11;1;« Abandonné chez un client pendant 2 ans et demi »;J'ai travaillé chez Devoteam à temps plein plus d'un an;;;4.1
12;1;« Bonne esn »;Je travaille chez Devoteam à temps plein;;;4.1
13;1;« Consultant [S'team management] »;Je travaille chez Devoteam à temps plein depuis moins d'un an;;;4.1
14;1;« Attention aux différentes manipulations des équipes dirigeantes »;Je travaille chez Devoteam à temps plein depuis plus d'un an;;;4.1
15;1;« Reconnaissante »;Je travaille chez Devoteam à temps plein depuis plus de 3 ans;;;4.1
16;1;« Belle Entreprise ! »;Je travaille chez Devoteam à temps plein depuis plus d'un an;;;4.1
17;1;« Une culture saine et propice à l'épanouissement »;Je travaille chez Devoteam à temps plein depuis plus de 3 ans;;;4.1
18;1;« En constante amélioration »;Je travaille chez Devoteam à temps plein depuis plus de 5 ans;;;4.1
19;1;« Comme un oeuf en gelée »;Je travaille chez Devoteam à temps plein depuis plus d'un an;;;4.1
20;1;« Bonne ESN dans l'ensemble »;Je travaille chez Devoteam à temps plein depuis plus d'un an;;;4.1
21;5;« OK »;Je travaille chez Atos à temps plein;"AvantagesEquilibre pro / perso
Ambiance au sein des équipes";"InconvénientsLa rémunération
Diversité des missions
Evolution salariale";3.3
