idsociete;nomsociete;villeSociete;codePostalSociete;regionSociete;paysSociete
1;Devoteam;;;;
2;Freelance-info.fr;Lyon;;;FR
3;Groupe PSIH;Lyon;;;FR
4;CELAD;Lyon;;;FR
5;Atos;;;;
6;Sopra Steria;Lyon;;;FR
7;INTITEK;Lyon;;;FR
8;Atos Consulting;;;;
9;Adthink;Lyon;;;FR
10;Atos-Syntel;;;;
11;Groupe SII;Lyon;;;FR
12;Atos Medical;;;;
13;Feu Vert;Écully;;;FR
14;Capgemini;Lyon Area;;;France
15;Alptis;Lyon;;;FR
16;Université de Bordeaux;Gradignan;;;FR
17;Dassault Systemes;;;;
18;ADERLY / Invest in Lyon;Lyon;;;FR
19;SolidWorks;;;;
20;Roamler;Lyon;;;FR
21;MycommunIT;Saint-Maurice-sur-Dargoire;;;FR
22;Harnham;Lille;;;FR
23;2S2I Solutions & Services;;;;
24;EOLE Consulting;Lyon;;;FR
25;CEGID;;;;
26;Axway;Lyon;;Auvergne-Rhone-Alpes;France
27;Bayer;;;;
28;Soladis;Lyon;;;FR
29;BIAL-R;Lyon;;;FR
30;Statkraft;Lyon;;;FR
31;HAVANA IT & APPS;Lyon;;;FR
32;SELESCOPE;Lyon;;;FR
33;Fédération hospitalière de France (FHF);Lyon;;;FR
34;Abaka;;;;
35;Plastic Omnium;Sainte-Julie;;;FR
36;Expertime;;;;
37;Carriere-info.fr;Lyon;;;FR
38;Adsearch;;;;
39;DCS EASYWARE;Lyon;;;FR
40;Groupe Adéquat;;;;
41;Multimedia France Productions;;;;
42;Modis;;;;
43;Kiss The Bride;Limonest;;;FR
44;UK Ministry of Defence;;;;
45;DTA INGENIERIE MEDITERRANEE;Lyon 03;;;FR
46;BIOASTER;Lyon;;Auvergne-Rhône-Alpes;France
47;SILKHOM - SMART RECRUITMENT;Lyon;;;FR
48;CNS Communications;Saint-Genis-Laval;69230;Auvergne-Rhone-Alpes;France
49;Business Activ;Lyon;;;FR
50;Smile Group;;;;
51;Hermitage Solutions Fr;Lyon Area;;;France
52;Cegedim;;;;
53;HUGGA;Lyon;;;FR
54;Groupe Creative;;;;
55;Robert Half;;;;
56;ITS;Lyon;;;FR
57;Thales;Lyon;;;FR
58;Groupe CREATIVE;Lyon;;;FR
59;Everteam;Lyon;;;FR
60;Expectra;Lyon 06;;;FR
61;SoftAtHome;Lyon;;;FR
62;KOBALTT;Lyon;;;FR
63;Lacoste;;;;
64;Groupe ADAMING;Lyon;;;FR
65;Lacoste Traiteur;;;;
66;Sept Lieues;Lyon;;;FR
67;CGIAR;;;;
68;Stambia;Lyon;;;FR
69;Volvo Group;;;;
70;Inria;Lyon;;;FR
71;Volvo Trucks;;;;
72;Squadata;Lyon;;;FR
73;Volvo Cars;;;;
74;FinDiT Consulting;Région de Paris;;;France
75;Volvo Construction Equipment;;;;
76;Osella Technology;Paris Area;;;France
77;Volvo Information Technology;;;;
78;Societe Generale Corporate and Investment Banking - SGCIB;Fontenay-sous-Bois;;;FR
79;Accor;Évry;;Île-de-France;France
80;Urban Linker;Lyon;;;FR
81;Intrum-fr;Saint-Priest;;;FR
82;SeLoger;;;;
83;CNH Industrial;;;;
84;Adsearch SAS;Limonest;;;FR
85;TLScontact;Lyon;;Auvergne-Rhône-Alpes;France
86;CNH Industrial Capital;;;;
87;Micropole;Villeurbanne;;;FR
88;SOTRAVO Filiale SOLOCAL GROUP;;;;
89;FeuVert;Écully;;;FR
90;SoLocal Group;;;;
91;Sanofi;Lyon;;;FR
92;Morgan Philips Group;;;;
93;Morgan Philips Executive Search;;;;
94;Cegid;Lyon;;Auvergne-Rhône-Alpes;France
95;Montreal Associates;;;;
96;Cerema;Bron;;;FR
97;STM;;;;
98;Polytechnique Montréal;;;;
99;Clustree;Paris;;;FR
100;BMO Financial Group;;;;
101;PARIS GROUP;Paris;;;FR
102;Concordia University;;;;
103;LittleBigCode;Région de Paris;;;France
104;University of Montreal;;;;
105;MFG Labs;Paris;;Île-de-France;France
106;CRIM (Computer Research Institute of Montreal);;;;
107;C3.ai;Paris;;;FR
108;Eidos Montreal;;;;
109;NVIDIA;Courbevoie;;;FR
110;ABAKA;Nice;;Provence-Alpes-Cote d'Azur;France
111;Teads.tv;Paris;;;FR
112;Softeam;;;;
113;VINCI Energies;Lyon;;;FR
114;Fujitsu France;Paris Area;;;France
115;ALTRAN;;;;
116;Euro Protection Surveillance;Strasbourg;;Alsace;France
117;ALTRAD Group;;;;
118;PRIORITIS Market Access;Paris;;;
119;Altran Group;;;;
120;LMACP;Paris 02;;Île-de-France;France
121;Altran Engineering Solution;;;;
122;CACIIS;Paris;;;FR
123;Altran North America;;;;
124;Groupe SeLoger;Région de Paris;;;France
125;Altran Telnet;;;;
126;Glocomms;Paris;;Ile-de-France;France
127;Datatorii;Paris;;Île-de-France;France
128;Sephora;;;;
129;Groupe Crédit Agricole;Montrouge;;Île-de-France;France
130;LVMH;;;;
131;Altran;Paris La Défense;;Île-de-France;France
132;Statkraft AS;;;;
133;La Redoute;Roubaix;;Nord-Pas-de-Calais;France
134;Sparklane;;;;
135;Openvalue;Région de Paris;;;France
136;Manpower;;;;
137;Openfield;Malakoff;;;FR
138;SEPHORA;Neuilly-sur-Seine;;;FR
139;Artefact;Paris;;;FR
140;ITS Group;;;;
141;Loria;;;;
142;ITS Overlap;;;;
143;Approach People Recruitment;Région de Paris;;;France
144;Canon ITS;;;;
145;D2SI;Région de Paris;;;France
146;Aubay France;Région de Paris;;;France
147;WOM Recruitment;Lyon;;Auvergne-Rhône-Alpes;France
148;Sii Poland;;;;
149;Veolia;Lyon;;;FR
150;Awalee Consulting;Région de Paris;;;France
151;Citech;Lyon;;;FR
152;DeciVision;Lyon;;;FR
153;CITECH;Lyon;;;FR
154;cerema;;;;
155;ALTIVIEW;Lyon;;;FR
156;Everwin;Lyon;;;FR
157;AXA en France;Departement des Hauts-de-Seine;;;FR
158;DATALAKE;Colombes;;;FR
159;Paris Inn Group;;;;
160;Datalake;Puteaux;;;FR
161;Alithya;Paris;;;FR
162;Groupe Altice Média;;;;
163;CALIDA Group;;;;
164;INGENIANCE;Paris;;;FR
165;Logware;;;;
166;JEMS;Neuilly-sur-Seine;;Île-de-France;France
167;Fortuneo SA;;;;
168;Zenly;Paris;;;FR
169;Phildar;Neuville-en-Ferrain;;Hauts-de-France;France
170;SmartAdServer;Paris;;;FR
171;ADD UP;Paris;;;FR
172;Datadog;Paris;;;FR
173;TSC;Paris;75009;Ile-de-France;France
174;Doctolib;Paris;;;FR
175;Deliveroo;Paris;;;FR
176;Teads;;;;
177;Criteo;Paris;;;FR
178;Solocal;Paris et périphérie;;;
179;Contentsquare;Région de Paris;;;France
180;EXTERNATIC;Paris;;;FR
181;Meritis;Bordeaux;;Nouvelle-Aquitaine;France
182;CELINE;;;;
183;Fortuneo;Région de Paris;;;France
184;Les Echos;;;;
185;Catalina France;Boulogne-Billancourt;;Île-de-France;France
186;Kendo;;;;
